"entry_id","original_text","extracted_venue_name","is_coming_soon","enrichment_source","image_url","source_url"
"journal-undefined-1769315033571","Start with highest-rated show: His&Hers on Netflix - Based on positive user feedback mentioning 'amazing ending', begin with His&Hers. Set aside 2-3 hours for binge-watching this thriller series in one evening with snacks and comfortable setup.","Start with highest-rated show: His&Hers on Netflix","true","placeholder","/images/coming-soon-movie.svg","https://www.threads.com/@_crueltae/post/DT5kVkslgnq?xmt=AQF0sEHiRPUPM-uZav3abkgIIdxvMqCIBntBEYBvMO0pB2aXWFRDSfyCGgPaeZsMIUisJL8&source_surface=35&slof=1"
"journal-1769313391040-dvuicquk8","Ripple","Ripple",,,,"https://www.instagram.com/p/DTV4_lOkQv5/?igsh=MWdmZmJwdTl3OWFxZA==,"
"journal-1769313391039-yqrvna2jq","The RIP","The RIP",,,,"https://www.instagram.com/p/DTV4_lOkQv5/?igsh=MWdmZmJwdTl3OWFxZA==,"
"journal-1769313391039-by6jcob35","RUN AWAY","RUN AWAY",,,,"https://www.instagram.com/p/DTV4_lOkQv5/?igsh=MWdmZmJwdTl3OWFxZA==,"
"journal-1769313391039-xhe12n4nw","All her fault","All her fault",,,,"https://www.instagram.com/p/DTV4_lOkQv5/?igsh=MWdmZmJwdTl3OWFxZA==,"
"journal-1769313391039-2fhp9c3e4","His&Hers","His&Hers",,,,"https://www.instagram.com/p/DTV4_lOkQv5/?igsh=MWdmZmJwdTl3OWFxZA==,"
"journal-1769313391039-eb0x2kfh9","love&death","love&death",,,,"https://www.instagram.com/p/DTV4_lOkQv5/?igsh=MWdmZmJwdTl3OWFxZA==,"
"journal-1769313391039-ocpb3xc7m","THE BEAST IN ME","THE BEAST IN ME",,,,"https://www.instagram.com/p/DTV4_lOkQv5/?igsh=MWdmZmJwdTl3OWFxZA==,"
"journal-1769313391039-xunxme7t7","The Running Man","The Running Man",,,,"https://www.instagram.com/p/DTV4_lOkQv5/?igsh=MWdmZmJwdTl3OWFxZA==,"
"journal-1769313391039-42snjxkn2","Sinners","Sinners",,,,"https://www.instagram.com/p/DTV4_lOkQv5/?igsh=MWdmZmJwdTl3OWFxZA==,"
"journal-1769313391039-5dgiq1trg","The Hunger Games: Sunrise on the Reaping","The Hunger Games: Sunrise on the Reaping",,,,"https://www.instagram.com/p/DTV4_lOkQv5/?igsh=MWdmZmJwdTl3OWFxZA==,"
"journal-1769313391039-2vrs3x2t6","STEAL","STEAL",,,,"https://www.instagram.com/p/DTV4_lOkQv5/?igsh=MWdmZmJwdTl3OWFxZA==,"
